region,scene_point_count,scene_point_share,proposed_win_rate,mean_delta_pdb_satisfaction_rate,mean_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
critical,108,0.25,0.2962962962962963,-0.0001895148032833334,1.0043389267583778,5.616605616605892e-06,0.00024092210341582557,-0.00024092210341582405
feasible,277,0.6412037037037037,0.010830324909747292,1.5342960288808663e-05,1.0000003994038347,-3.614516249887763e-08,8.225944028394558e-07,-8.22594402839546e-07
overloaded,47,0.1087962962962963,0.6382978723404256,0.004144620919136171,1.0359130529903786,-1.5743122126088887e-06,0.004906165878589512,-0.004906165878589511
