background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
32,4,50,0.4,easy,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.064,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,1.0,13260800.0,414400.0,0.5400952380952381,0.868602552093735,0.13139744790626498,800.0,0.0,12.6,11.6,1.0,0.0
32,4,50,0.4,easy,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.064,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,1.0,13260800.0,414400.0,0.5400952380952381,0.868602552093735,0.13139744790626498,800.0,0.0,12.6,11.6,1.0,0.0
48,8,50,2.7,critical,1.5,72.7,0.11999047575598686,0.39542334096109844,0.7671958495015461,0.43200000000000005,0.12,0.4,0.11999047575598686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.772,8003852.88,166746.935,0.9654081807081807,0.2793041275035447,0.7206958724964553,1600.0,0.22799999999999998,23.2,21.0,2.2,0.0
48,8,50,2.7,critical,1.5,72.7,0.11999047575598686,0.39542334096109844,0.7671958495015461,0.43200000000000005,0.12,0.4,0.11999047575598686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.788,8004359.44,166757.48833333334,0.9654004884004884,0.27901284986871644,0.7209871501312836,1600.0,0.21200000000000002,23.2,21.0,2.2,0.0
40,8,100,7.5,overloaded,2.0,48.5,0.19984668012509152,0.5491990846681922,0.7331983044050135,0.6,0.2,0.55,0.19984668012509152,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.1865,10027009.18,250675.2295,0.9997,0.23273224710092588,0.7672677528990741,800.0,0.8135,47.6,43.0,4.6,0.0
40,8,100,7.5,overloaded,2.0,48.5,0.19984668012509152,0.5491990846681922,0.7331983044050135,0.6,0.2,0.55,0.19984668012509152,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.209,10299843.3,257496.08250000002,0.999699877899878,0.23331966689537595,0.7666803331046241,800.0,0.791,47.6,43.0,4.6,23998.8
32,4,50,7.5,high_cost,2.0,38.8,0.19984668012509155,0.5491990846681922,0.7331983044050135,1.2,0.2,0.55,0.19984668012509155,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.35350000000000004,11275629.24,352363.41375,0.9911002442002441,0.3035698083218726,0.6964301916781275,800.0,0.6465,31.0,26.0,5.0,159156.6
32,4,50,7.5,high_cost,2.0,38.8,0.19984668012509155,0.5491990846681922,0.7331983044050135,1.2,0.2,0.55,0.19984668012509155,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.3585,10941934.14,341935.441875,0.9912002442002443,0.29689340274699283,0.7031065972530072,800.0,0.6415,31.0,26.0,5.0,0.0
