background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
24,4,100,50,10,0.0015,0.0015,0.0,0.0,0.0,0.5459312762974,0.3363080137330438,0.20844586647766655,0.0,-0.04936119838006249,0.04936119838006251
24,4,100,150,10,0.0,0.0,0.0,0.0,0.0,0.4610061322316,0.3756867342864831,0.2328530503429288,0.0,-0.07031696862679424,0.07031696862679424
24,4,100,300,10,0.0,0.0,0.0,0.0,0.0,0.4305624458339,0.40571953119929394,0.2514675707218809,0.0,-0.08108577190364573,0.08108577190364573
24,4,300,50,10,0.16969367297332733,0.19955044780653577,0.0298567748332,0.05072831527320976,0.03144173555278412,0.8594949535804,0.27721788716535234,0.17182142659008615,4.2124542124599705e-06,-0.028170220568013944,0.028170220568013948
24,4,300,150,10,0.004477695066854533,0.004477695066854533,0.0,0.0,0.0,0.7140190436891001,0.28610075394618606,0.17732708446122547,0.0,-0.025487598554491973,0.025487598554491953
24,4,300,300,10,0.0,0.0,0.0,0.0,0.0,0.8106720322619001,0.22000975661903727,0.1363634599215909,0.0,-0.009445415985211387,0.009445415985211392
24,4,500,50,10,0.49625,0.51125,0.015000000000000003,0.02486072315029383,0.015408835849025786,0.9987029288209,0.003423672261527014,0.0021220140524395455,-3.5409035409106337e-06,-0.00015882930894781656,0.00015882930894780544
24,4,500,150,10,0.005,0.005,0.0,0.0,0.0,0.6326735467957,0.2953228054103242,0.18304297117711502,0.0,-0.05607754634361648,0.0560775463436165
24,4,500,300,10,0.0,0.0,0.0,0.0,0.0,0.6521588196433,0.32889411876941815,0.20385068677167814,0.0,-0.047073294565878866,0.047073294565878866
24,10,100,50,10,0.00030000000000000003,0.00030000000000000003,0.0,0.0,0.0,0.7879061530200999,0.30668152161415274,0.19008317641902872,0.0,-0.011536182786892975,0.011536182786892968
24,10,100,150,10,0.0,0.0,0.0,0.0,0.0,0.7321966725014,0.3457815744279589,0.2143176402298313,0.0,-0.01573813078298075,0.015738130782980753
24,10,100,300,10,0.0,0.0,0.0,0.0,0.0,0.7390633599752999,0.3502486043826788,0.21708633408032155,0.0,-0.015637092931942896,0.01563709293194291
24,10,300,50,10,0.002397029209411907,0.002099410161792859,-0.0002976190476,0.0009411540654660695,0.0005833333332959999,0.6176243384026,0.3382945166553506,0.20967711374502826,0.0,-0.03232567356367458,0.03232567356367457
24,10,300,150,10,0.0012003020985056913,0.0012003020985056913,0.0,0.0,0.0,0.8317875912208,0.2004212017675914,0.12422234783885569,0.0,-0.006607583053599127,0.006607583053599142
24,10,300,300,10,0.0,0.0,0.0,0.0,0.0,0.8530275745385,0.21068918577534146,0.13058651026161985,0.0,-0.007174888861170123,0.007174888861170103
24,10,500,50,10,0.01,0.0095,-0.0005,0.00158113883008419,0.0009800000000000002,0.658589286271,0.23096667915465216,0.1431546308678707,0.0,-0.030703819254742463,0.03070381925474246
24,10,500,150,10,0.0,0.0,0.0,0.0,0.0,0.8436232304307,0.22489980831752301,0.1393943453652561,0.0,-0.01352077067846558,0.013520770678465577
24,10,500,300,10,0.0,0.0,0.0,0.0,0.0,0.7965255025379,0.27452383938332175,0.170151638475244,0.0,-0.01949721962396164,0.01949721962396165
24,16,100,50,10,0.0,0.0,0.0,0.0,0.0,0.5870059321523999,0.33722352843708975,0.20901330837011395,0.0,-0.007605128205128206,0.007605128205128186
24,16,100,150,10,0.0,0.0,0.0,0.0,0.0,0.2024315089126,0.02691651590831156,0.016683029401498402,0.0,-0.015253296703296703,0.015253296703296736
24,16,100,300,10,0.0,0.0,0.0,0.0,0.0,0.2011008914778,0.03217616092638638,0.01994299115794889,0.0,-0.015275335775335777,0.015275335775335797
24,16,300,50,10,0.0014988405495221218,0.0014988405495221218,0.0,0.0,0.0,0.949831087342,0.022787690872234475,0.014123957131329632,0.0,-0.001053765763039314,0.0010537657630393382
24,16,300,150,10,0.0,0.0,0.0,0.0,0.0,0.9083303303892001,0.03373534715196766,0.020909384792711688,0.0,-0.0021479844211058753,0.002147984421105864
24,16,300,300,10,0.0,0.0,0.0,0.0,0.0,0.6567998769161,0.22228917939359505,0.13777626079433125,0.0,-0.00971113451305592,0.009711134513055919
24,16,500,50,10,0.0040625,0.0034375000000000005,-0.000625,0.001976423537605237,0.0012249999999999997,0.9315381213470999,0.03449899532589666,0.021382698834597924,0.0,-0.0022990121230318447,0.0022990121230318404
24,16,500,150,10,0.0,0.0,0.0,0.0,0.0,0.9059341870605,0.09718432219905557,0.06023546695770114,0.0,-0.0036071130037457918,0.0036071130037457653
24,16,500,300,10,0.0,0.0,0.0,0.0,0.0,0.7883438303502001,0.14842555311348152,0.09199511091854397,0.0,-0.008676684546084978,0.008676684546084956
36,4,100,50,10,0.00125,0.0015,0.00025,0.000790569415042095,0.0004900000000000001,0.3661025386279,0.3092351102701818,0.19166590706563186,0.0,-0.09558711843711844,0.0955871184371184
36,4,100,150,10,0.0,0.0,0.0,0.0,0.0,0.5765583791005,0.3315082000820197,0.20547091115527202,0.0,-0.06301770451770453,0.06301770451770453
36,4,100,300,10,0.0,0.0,0.0,0.0,0.0,0.5805135325992999,0.33423017268301713,0.20715800725222605,0.0,-0.06295335775335775,0.06295335775335778
