seed,scenario_id,policy,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
7,bg24_pdb10_d300_k50_seed00,tail_append,24,10,300,50,0.0,4129238.0,172051.58333333334,0.99792673992674,0.07170238173894106,0.9282976182610589,331.0,1.0,318.0,257.0,61.0,38251870.0
7,bg24_pdb10_d300_k50_seed00,hopeless_front_insert,24,10,300,50,0.0,1648522.1,68688.42083333334,0.99792673992674,0.03713376450810105,0.962866235491899,331.0,1.0,308.0,245.0,63.0,40467321.0
7,bg24_pdb10_d300_k150_seed00,tail_append,24,10,300,150,0.0,1611760.2,67156.675,0.99792673992674,0.036383123985992936,0.963616876014007,331.0,1.0,780.0,607.0,173.0,284797676.0
7,bg24_pdb10_d300_k150_seed00,hopeless_front_insert,24,10,300,150,0.0,1533303.4,63887.64166666667,0.99792673992674,0.03516142135954641,0.9648385786404536,331.0,1.0,8589.0,8406.0,183.0,302918267.0
7,bg24_pdb10_d300_k300_seed00,tail_append,24,10,300,300,0.0,1611760.2,67156.675,0.99792673992674,0.036383123985992936,0.963616876014007,331.0,1.0,1498.0,1192.0,306.0,680878635.0
7,bg24_pdb10_d300_k300_seed00,hopeless_front_insert,24,10,300,300,0.0,1542906.8,64287.78333333333,0.99792673992674,0.03562881285008479,0.9643711871499152,331.0,1.0,0.0,11765.0,150.0,721218834.0
7,bg24_pdb10_d500_k50_seed00,tail_append,24,10,500,50,0.04,7808913.1,325371.37916666665,0.9958449328449328,0.1316293463561048,0.8683706536438952,200.0,0.96,469.0,422.0,47.0,0.0
7,bg24_pdb10_d500_k50_seed00,hopeless_front_insert,24,10,500,50,0.04,3368602.1,140358.42083333334,0.9958449328449328,0.0706016574362093,0.9293983425637907,200.0,0.96,470.0,418.0,52.0,0.0
7,bg24_pdb10_d500_k150_seed00,tail_append,24,10,500,150,0.0,2224584.7,92691.02916666666,0.9958449328449328,0.05089462075019893,0.9491053792498011,200.0,1.0,2664.0,2507.0,157.0,155497194.0
7,bg24_pdb10_d500_k150_seed00,hopeless_front_insert,24,10,500,150,0.0,2075742.7,86489.27916666667,0.9958449328449328,0.04872381825828197,0.951276181741718,200.0,1.0,748.0,591.0,157.0,151941115.0
7,bg24_pdb10_d500_k300_seed00,tail_append,24,10,500,300,0.0,2224584.7,92691.02916666666,0.9958449328449328,0.05089462075019893,0.9491053792498011,200.0,1.0,5935.0,5624.0,311.0,395610643.0
7,bg24_pdb10_d500_k300_seed00,hopeless_front_insert,24,10,500,300,0.0,2074143.5,86422.64583333333,0.9958449328449328,0.04890344128288848,0.9510965587171115,200.0,1.0,0.0,11684.0,156.0,406611231.0
7,bg24_pdb16_d100_k50_seed00,tail_append,24,16,100,50,0.0,944579.3,39357.47083333333,1.0,0.018333943833943833,0.9816660561660562,1600.0,1.0,969.0,936.0,33.0,547097478.0
7,bg24_pdb16_d100_k50_seed00,hopeless_front_insert,24,16,100,50,0.0,768607.7,32025.32083333333,1.0,0.015470695970695971,0.984529304029304,1600.0,1.0,129.0,103.0,26.0,512930616.0
7,bg24_pdb16_d100_k150_seed00,tail_append,24,16,100,150,0.0,944579.3,39357.47083333333,1.0,0.018333943833943833,0.9816660561660562,1600.0,1.0,0.0,11949.0,46.0,1827277181.0
7,bg24_pdb16_d100_k150_seed00,hopeless_front_insert,24,16,100,150,0.0,173411.6,7225.483333333334,1.0,0.003691086691086691,0.9963089133089134,1600.0,1.0,0.0,11954.0,41.0,1781267705.0
7,bg24_pdb16_d100_k300_seed00,tail_append,24,16,100,300,0.0,944579.3,39357.47083333333,1.0,0.018333943833943833,0.9816660561660562,1600.0,1.0,0.0,11958.0,37.0,3747214522.0
7,bg24_pdb16_d100_k300_seed00,hopeless_front_insert,24,16,100,300,0.0,144032.4,6001.35,1.0,0.003191086691086691,0.9968089133089133,1600.0,1.0,0.0,11956.0,39.0,3700767641.0
7,bg24_pdb16_d300_k50_seed00,tail_append,24,16,300,50,0.0018796992481203006,1515676.5,63153.1875,1.0,0.03133089133089133,0.9686691086691087,532.0,0.9981203007518797,334.0,298.0,36.0,117703662.0
7,bg24_pdb16_d300_k50_seed00,hopeless_front_insert,24,16,300,50,0.0018796992481203006,1429374.5,59557.270833333336,1.0,0.030004884004884005,0.969995115995116,532.0,0.9981203007518797,309.0,275.0,34.0,112270749.0
7,bg24_pdb16_d300_k150_seed00,tail_append,24,16,300,150,0.0,1423021.5,59292.5625,1.0,0.02978937728937729,0.9702106227106227,532.0,1.0,449.0,376.0,73.0,533961418.0
7,bg24_pdb16_d300_k150_seed00,hopeless_front_insert,24,16,300,150,0.0,1266109.2,52754.55,1.0,0.02748229548229548,0.9725177045177045,532.0,1.0,0.0,11926.0,64.0,519769154.0
7,bg24_pdb16_d300_k300_seed00,tail_append,24,16,300,300,0.0,1418181.8,59090.90833333333,1.0,0.029713675213675215,0.9702863247863248,532.0,1.0,690.0,539.0,151.0,1163047599.0
7,bg24_pdb16_d300_k300_seed00,hopeless_front_insert,24,16,300,300,0.0,672161.6,28006.733333333334,1.0,0.01544017094017094,0.9845598290598291,532.0,1.0,0.0,11927.0,63.0,1179644293.0
7,bg24_pdb16_d500_k50_seed00,tail_append,24,16,500,50,0.0125,2420629.7,100859.57083333333,0.9958449328449328,0.05266878127310424,0.9473312187268957,320.0,0.9875,489.0,444.0,45.0,34389226.0
7,bg24_pdb16_d500_k50_seed00,hopeless_front_insert,24,16,500,50,0.009375,2152525.3,89688.55416666667,0.9958449328449328,0.048549712664465415,0.9514502873355346,320.0,0.990625,494.0,445.0,49.0,32074153.0
7,bg24_pdb16_d500_k150_seed00,tail_append,24,16,500,150,0.0,2155744.1,89822.67083333334,0.9958449328449328,0.048258514928328576,0.9517414850716714,320.0,1.0,0.0,11732.0,108.0,270203026.0
7,bg24_pdb16_d500_k150_seed00,hopeless_front_insert,24,16,500,150,0.0,2010061.1,83752.54583333334,0.9958449328449328,0.04554639117112986,0.9544536088288701,320.0,1.0,0.0,11734.0,106.0,287121629.0
7,bg24_pdb16_d500_k300_seed00,tail_append,24,16,500,300,0.0,2155744.1,89822.67083333334,0.9958449328449328,0.048258514928328576,0.9517414850716714,320.0,1.0,0.0,11791.0,49.0,647284926.0
7,bg24_pdb16_d500_k300_seed00,hopeless_front_insert,24,16,500,300,0.0,1827732.2,76155.50833333333,0.9958449328449328,0.04201830070488244,0.9579816992951176,320.0,1.0,0.0,11735.0,105.0,646527044.0
