region,scene_point_count,scene_point_share,proposed_win_rate,mean_delta_pdb_satisfaction_rate,mean_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
critical,11,0.6111111111111112,0.2727272727272727,9.090909090909073e-05,0.9999208718385817,2.175602175601522e-06,-5.5228994730951743e-05,5.522899473095427e-05
feasible,7,0.3888888888888889,0.0,-0.0005357142857142857,1.0000023040569714,2.2675736961463856e-07,4.6112835230746214e-05,-4.6112835230746214e-05
