background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,threshold,baseline_feasible,proposed_feasible
32,4,100,8.2,L01,2.0,64.6,0.12003175214943579,0.300228832951945,0.7143873196662491,0.6559999999999999,0.12,0.3,0.12003175214943579,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,10.9,L03,2.0,64.6,0.12003175214943579,0.39908466819221966,0.7687768148993687,0.872,0.12,0.4,0.12003175214943579,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,12.3,L05,2.0,64.6,0.12003175214943579,0.45034324942791765,0.7895564289853308,0.9840000000000001,0.12,0.45,0.12003175214943579,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,100,4.1,L02,2.0,64.6,0.12003175214943579,0.300228832951945,0.7143873196662491,0.32799999999999996,0.12,0.3,0.12003175214943579,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,100,5.5,L04,2.0,64.6,0.12003175214943579,0.40274599542334094,0.7703962100400497,0.44,0.12,0.4,0.12003175214943579,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,100,6.1,L06,2.0,64.6,0.12003175214943579,0.4466819221967963,0.788196830987172,0.488,0.12,0.45,0.12003175214943579,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
40,4,100,8.2,L07,2.0,80.8,0.11995747507508588,0.300228832951945,0.714513603172027,0.6559999999999999,0.12,0.3,0.11995747507508588,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
40,4,100,10.9,L09,2.0,80.8,0.11995747507508588,0.39908466819221966,0.7688868300366353,0.872,0.12,0.4,0.11995747507508588,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
40,4,100,12.3,L11,2.0,80.8,0.11995747507508588,0.45034324942791765,0.7896592623486066,0.9840000000000001,0.12,0.45,0.11995747507508588,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
40,8,100,4.1,L08,2.0,80.8,0.11995747507508588,0.300228832951945,0.714513603172027,0.32799999999999996,0.12,0.3,0.11995747507508588,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
40,8,100,5.5,L10,2.0,80.8,0.11995747507508588,0.40274599542334094,0.7705056846844737,0.44,0.12,0.4,0.11995747507508588,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
40,8,100,6.1,L12,2.0,80.8,0.11995747507508588,0.4466819221967963,0.7883001505849611,0.488,0.12,0.45,0.11995747507508588,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
48,4,100,8.2,L13,1.5,72.7,0.11999047575598686,0.300228832951945,0.7144574909588823,0.6559999999999999,0.12,0.3,0.11999047575598686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,4,100,10.9,L15,1.5,72.7,0.11999047575598686,0.39908466819221966,0.7688379473474469,0.872,0.12,0.4,0.11999047575598686,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
48,4,100,12.3,L17,1.5,72.7,0.11999047575598686,0.45034324942791765,0.7896135710415936,0.9840000000000001,0.12,0.45,0.11999047575598686,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
48,8,100,4.1,L14,1.5,72.7,0.11999047575598686,0.300228832951945,0.7144574909588823,0.32799999999999996,0.12,0.3,0.11999047575598686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,8,100,5.5,L16,1.5,72.7,0.11999047575598686,0.40274599542334094,0.7704570421779058,0.44,0.12,0.4,0.11999047575598686,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,8,100,6.1,L18,1.5,72.7,0.11999047575598686,0.4466819221967963,0.7882542432109341,0.488,0.12,0.45,0.11999047575598686,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
