seed,scenario_id,policy,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
7,bg32_pdb4_d300_k24.6_seed00_L01,tail_append,32,4,300,24.6,L01,2.0,38.8,0.19984668012509155,0.3002288329519451,0.2,0.3,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.656,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.6783431013431014,0.5929435545563689,0.40705644544363107,132.0,0.0,20.0,11.0,9.0,0.0
7,bg32_pdb4_d300_k24.6_seed00_L01,hopeless_tail_append,32,4,300,24.6,L01,2.0,38.8,0.19984668012509155,0.3002288329519451,0.2,0.3,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.656,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.6783431013431014,0.5929435545563689,0.40705644544363107,132.0,0.0,20.0,11.0,9.0,0.0
7,bg32_pdb8_d300_k12.3_seed00_L02,tail_append,32,8,300,12.3,L02,2.0,38.8,0.19984668012509155,0.3002288329519451,0.2,0.3,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.328,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7551514041514041,0.5282892109386242,0.47171078906137576,265.0,0.0,29.0,15.0,14.0,0.0
7,bg32_pdb8_d300_k12.3_seed00_L02,hopeless_tail_append,32,8,300,12.3,L02,2.0,38.8,0.19984668012509155,0.3002288329519451,0.2,0.3,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.328,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7551514041514041,0.5282892109386242,0.47171078906137576,265.0,0.0,29.0,15.0,14.0,0.0
7,bg32_pdb4_d300_k32.8_seed00_L03,tail_append,32,4,300,32.8,L03,2.0,38.8,0.19984668012509155,0.4003051106025934,0.2,0.4,0.19984668012509155,0.4003051106025934,0.6670064420156487,0.8746666666666666,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7557014652014652,0.5321524043110615,0.4678475956889385,132.0,0.0,28.0,15.0,13.0,0.0
7,bg32_pdb4_d300_k32.8_seed00_L03,hopeless_tail_append,32,4,300,32.8,L03,2.0,38.8,0.19984668012509155,0.4003051106025934,0.2,0.4,0.19984668012509155,0.4003051106025934,0.6670064420156487,0.8746666666666666,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7557014652014652,0.5321524043110615,0.4678475956889385,132.0,0.0,28.0,15.0,13.0,0.0
7,bg32_pdb8_d300_k16.4_seed00_L04,tail_append,32,8,300,16.4,L04,2.0,38.8,0.19984668012509155,0.4003051106025934,0.2,0.4,0.19984668012509155,0.4003051106025934,0.6670064420156487,0.4373333333333333,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8607912087912087,0.46419726293213504,0.535802737067865,265.0,0.0,35.0,17.0,18.0,0.0
7,bg32_pdb8_d300_k16.4_seed00_L04,hopeless_tail_append,32,8,300,16.4,L04,2.0,38.8,0.19984668012509155,0.4003051106025934,0.2,0.4,0.19984668012509155,0.4003051106025934,0.6670064420156487,0.4373333333333333,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8607912087912087,0.46419726293213504,0.535802737067865,265.0,0.0,35.0,17.0,18.0,0.0
7,bg32_pdb4_d300_k36.9_seed00_L05,tail_append,32,4,300,36.9,L05,2.0,38.8,0.19984668012509155,0.4503432494279176,0.2,0.45,0.19984668012509155,0.4503432494279176,0.6926333813529201,0.984,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7933113553113553,0.5069129566183691,0.4930870433816309,132.0,0.0,30.0,15.0,15.0,0.0
7,bg32_pdb4_d300_k36.9_seed00_L05,hopeless_tail_append,32,4,300,36.9,L05,2.0,38.8,0.19984668012509155,0.4503432494279176,0.2,0.45,0.19984668012509155,0.4503432494279176,0.6926333813529201,0.984,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7933113553113553,0.5069129566183691,0.4930870433816309,132.0,0.0,30.0,15.0,15.0,0.0
7,bg32_pdb8_d300_k18.4_seed00_L06,tail_append,32,8,300,18.4,L06,2.0,38.8,0.19984668012509155,0.4491228070175438,0.2,0.45,0.19984668012509155,0.4491228070175438,0.6920553522400542,0.49066666666666664,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9051025641025641,0.44158204940380075,0.5584179505961993,265.0,0.0,54.0,32.0,22.0,0.0
7,bg32_pdb8_d300_k18.4_seed00_L06,hopeless_tail_append,32,8,300,18.4,L06,2.0,38.8,0.19984668012509155,0.4491228070175438,0.2,0.45,0.19984668012509155,0.4491228070175438,0.6920553522400542,0.49066666666666664,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9051025641025641,0.44158204940380075,0.5584179505961993,265.0,0.0,54.0,32.0,22.0,0.0
7,bg40_pdb4_d300_k24.6_seed00_L07,tail_append,40,4,300,24.6,L07,2.0,48.5,0.19984668012509152,0.3002288329519451,0.2,0.3,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.656,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.6957106227106227,0.6042924812254404,0.3957075187745596,132.0,0.0,15.0,6.0,9.0,0.0
7,bg40_pdb4_d300_k24.6_seed00_L07,hopeless_tail_append,40,4,300,24.6,L07,2.0,48.5,0.19984668012509152,0.3002288329519451,0.2,0.3,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.656,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.6957106227106227,0.6042924812254404,0.3957075187745596,132.0,0.0,15.0,6.0,9.0,0.0
7,bg40_pdb8_d300_k12.3_seed00_L08,tail_append,40,8,300,12.3,L08,2.0,48.5,0.19984668012509152,0.3002288329519451,0.2,0.3,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.328,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13280553.2,332013.83,0.7728369963369963,0.5397734588717813,0.46022654112821876,265.0,0.0,38.0,28.0,10.0,0.0
7,bg40_pdb8_d300_k12.3_seed00_L08,hopeless_tail_append,40,8,300,12.3,L08,2.0,48.5,0.19984668012509152,0.3002288329519451,0.2,0.3,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.328,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13280553.2,332013.83,0.7728369963369963,0.5397734588717813,0.46022654112821876,265.0,0.0,38.0,28.0,10.0,0.0
7,bg40_pdb4_d300_k32.8_seed00_L09,tail_append,40,4,300,32.8,L09,2.0,48.5,0.19984668012509152,0.4003051106025934,0.2,0.4,0.19984668012509152,0.4003051106025934,0.6670064420156488,0.8746666666666666,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.7726385836385836,0.542044687740502,0.457955312259498,132.0,0.0,23.0,10.0,13.0,0.0
7,bg40_pdb4_d300_k32.8_seed00_L09,hopeless_tail_append,40,4,300,32.8,L09,2.0,48.5,0.19984668012509152,0.4003051106025934,0.2,0.4,0.19984668012509152,0.4003051106025934,0.6670064420156488,0.8746666666666666,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.7726385836385836,0.542044687740502,0.457955312259498,132.0,0.0,23.0,10.0,13.0,0.0
