region,scene_point_count,scene_point_share,proposed_win_rate,mean_delta_pdb_satisfaction_rate,mean_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
critical,12,0.6666666666666666,0.08333333333333333,-0.0020668049652000004,1.0012456719122667,-3.0525030525474504e-08,-8.595106941019918e-05,8.59510694101969e-05
feasible,4,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0
overloaded,2,0.1111111111111111,1.0,0.0074976874026,1.004864865031,2.4420024420379604e-07,0.000690297411509655,-0.0006902974115096328
