background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,mean_center_throughput_retention
32,8,300,12.3,easy,2.0,38.8,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.328,0.2,0.3,0.19984668012509155,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0
32,8,300,18.4,critical,2.0,38.8,0.19984668012509155,0.4491228070175438,0.6920553522400542,0.49066666666666664,0.2,0.45,0.19984668012509155,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,0.557106758841135,0.5609000772016962,0.0037933183605999995,1.0036396084146
48,8,300,18.4,overloaded,2.0,58.2,0.19984668012509152,0.4491228070175438,0.6920553522400542,0.49066666666666664,0.2,0.45,0.19984668012509152,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,0.4378364397319353,0.4505874608080515,0.012751021076,1.004728963523
