background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,threshold,baseline_feasible,proposed_feasible
32,4,300,24.6,L01,2.0,38.8,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.656,0.2,0.3,0.19984668012509155,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,1,1
32,4,300,32.8,L03,2.0,38.8,0.19984668012509155,0.4003051106025934,0.6670064420156487,0.8746666666666666,0.2,0.4,0.19984668012509155,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
32,4,300,36.9,L05,2.0,38.8,0.19984668012509155,0.4503432494279176,0.6926333813529201,0.984,0.2,0.45,0.19984668012509155,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
32,8,300,12.3,L02,2.0,38.8,0.19984668012509155,0.3002288329519451,0.6003669947856352,0.328,0.2,0.3,0.19984668012509155,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,1,1
32,8,300,16.4,L04,2.0,38.8,0.19984668012509155,0.4003051106025934,0.6670064420156487,0.4373333333333333,0.2,0.4,0.19984668012509155,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
32,8,300,18.4,L06,2.0,38.8,0.19984668012509155,0.4491228070175438,0.6920553522400542,0.49066666666666664,0.2,0.45,0.19984668012509155,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
40,4,300,24.6,L07,2.0,48.5,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.656,0.2,0.3,0.19984668012509152,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,1,1
40,4,300,32.8,L09,2.0,48.5,0.19984668012509152,0.4003051106025934,0.6670064420156488,0.8746666666666666,0.2,0.4,0.19984668012509152,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
40,4,300,36.9,L11,2.0,48.5,0.19984668012509152,0.4503432494279176,0.6926333813529201,0.984,0.2,0.45,0.19984668012509152,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
40,8,300,12.3,L08,2.0,48.5,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.328,0.2,0.3,0.19984668012509152,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,1,1
40,8,300,16.4,L10,2.0,48.5,0.19984668012509152,0.4003051106025934,0.6670064420156488,0.4373333333333333,0.2,0.4,0.19984668012509152,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
40,8,300,18.4,L12,2.0,48.5,0.19984668012509152,0.4491228070175438,0.6920553522400542,0.49066666666666664,0.2,0.45,0.19984668012509152,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
48,4,300,24.6,L13,2.0,58.2,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.656,0.2,0.3,0.19984668012509152,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,1,1
48,4,300,32.8,L15,2.0,58.2,0.19984668012509152,0.4003051106025934,0.6670064420156488,0.8746666666666666,0.2,0.4,0.19984668012509152,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
48,4,300,36.9,L17,2.0,58.2,0.19984668012509152,0.4503432494279176,0.6926333813529201,0.984,0.2,0.45,0.19984668012509152,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
48,8,300,12.3,L14,2.0,58.2,0.19984668012509152,0.3002288329519451,0.6003669947856353,0.328,0.2,0.3,0.19984668012509152,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,1,1
48,8,300,16.4,L16,2.0,58.2,0.19984668012509152,0.4003051106025934,0.6670064420156488,0.4373333333333333,0.2,0.4,0.19984668012509152,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
48,8,300,18.4,L18,2.0,58.2,0.19984668012509152,0.4491228070175438,0.6920553522400542,0.49066666666666664,0.2,0.45,0.19984668012509152,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,0.9,0,0
