seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
8,32,4,50,7.5,L05,2.0,258.5,0.02999632955069072,0.5491990846681922,0.03,0.55,0.02999632955069072,0.5491990846681922,0.9482103469497518,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.99625,0.99625,0.0,1.0,0.0,0.0,0.0
8,32,8,50,3.8,L06,2.0,258.5,0.02999632955069072,0.5565217391304348,0.03,0.55,0.02999632955069072,0.5565217391304348,0.948856938681971,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.701875,0.703125,0.00125,1.0,0.0,0.00023871200526021097,-0.00023871200526015546
8,40,4,50,0.4,L07,2.0,323.1,0.029998650529455086,0.029290617848970253,0.03,0.03,0.029998650529455086,0.029290617848970253,0.49402899799702643,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,40,8,50,0.2,L08,2.0,323.1,0.029998650529455086,0.029290617848970253,0.03,0.03,0.029998650529455086,0.029290617848970253,0.49402899799702643,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,40,4,50,2.5,L09,2.0,323.1,0.029998650529455086,0.18306636155606407,0.03,0.18,0.029998650529455086,0.18306636155606407,0.8592042389511876,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,40,8,50,1.2,L10,2.0,323.1,0.029998650529455086,0.1757437070938215,0.03,0.18,0.029998650529455086,0.1757437070938215,0.8541931234967962,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,40,4,50,7.5,L11,2.0,323.1,0.029998650529455086,0.5491990846681922,0.03,0.55,0.029998650529455086,0.5491990846681922,0.9482065472524367,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.95375,0.95375,0.0,1.0,0.0,0.0,0.0
8,40,8,50,3.8,L12,2.0,323.1,0.029998650529455086,0.5565217391304348,0.03,0.55,0.029998650529455086,0.5565217391304348,0.948853183864843,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.71375,0.718125,0.004375,1.0,0.0,-0.0003534798534798461,0.00035347985347988775
8,48,4,50,0.4,L13,1.5,290.8,0.029997618938996714,0.029290617848970253,0.03,0.03,0.029997618938996714,0.029290617848970253,0.49403759389442703,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,48,8,50,0.2,L14,1.5,290.8,0.029997618938996714,0.029290617848970253,0.03,0.03,0.029997618938996714,0.029290617848970253,0.49403759389442703,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,48,4,50,2.5,L15,1.5,290.8,0.029997618938996714,0.18306636155606407,0.03,0.18,0.029997618938996714,0.18306636155606407,0.8592083989546412,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,48,8,50,1.2,L16,1.5,290.8,0.029997618938996714,0.1757437070938215,0.03,0.18,0.029997618938996714,0.1757437070938215,0.8541974064354395,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,48,4,50,7.5,L17,1.5,290.8,0.029997618938996714,0.5491990846681922,0.03,0.55,0.029997618938996714,0.5491990846681922,0.9482082360756303,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.96625,0.96625,0.0,1.0,0.0,0.0,0.0
8,48,8,50,3.8,L18,1.5,290.8,0.029997618938996714,0.5565217391304348,0.03,0.55,0.029997618938996714,0.5565217391304348,0.9488548527405202,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.665,0.6625,-0.0025,1.0,3.6630036630569407e-06,-0.0008110375412691412,0.0008110375412690995
9,32,4,50,0.4,L01,2.0,258.5,0.02999632955069072,0.029290617848970253,0.03,0.03,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,8,50,0.2,L02,2.0,258.5,0.02999632955069072,0.029290617848970253,0.03,0.03,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,4,50,2.5,L03,2.0,258.5,0.02999632955069072,0.18306636155606407,0.03,0.18,0.02999632955069072,0.18306636155606407,0.8592135986132781,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,8,50,1.2,L04,2.0,258.5,0.02999632955069072,0.1757437070938215,0.03,0.18,0.02999632955069072,0.1757437070938215,0.8542027597549238,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,4,50,7.5,L05,2.0,258.5,0.02999632955069072,0.5491990846681922,0.03,0.55,0.02999632955069072,0.5491990846681922,0.9482103469497518,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.99125,0.99125,0.0,1.0,0.0,0.0,0.0
9,32,8,50,3.8,L06,2.0,258.5,0.02999632955069072,0.5565217391304348,0.03,0.55,0.02999632955069072,0.5565217391304348,0.948856938681971,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.510625,0.493125,-0.0175,1.0,0.0,0.00016849816849816984,-0.00016849816849817678
9,40,4,50,0.4,L07,2.0,323.1,0.029998650529455086,0.029290617848970253,0.03,0.03,0.029998650529455086,0.029290617848970253,0.49402899799702643,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,8,50,0.2,L08,2.0,323.1,0.029998650529455086,0.029290617848970253,0.03,0.03,0.029998650529455086,0.029290617848970253,0.49402899799702643,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,4,50,2.5,L09,2.0,323.1,0.029998650529455086,0.18306636155606407,0.03,0.18,0.029998650529455086,0.18306636155606407,0.8592042389511876,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,8,50,1.2,L10,2.0,323.1,0.029998650529455086,0.1757437070938215,0.03,0.18,0.029998650529455086,0.1757437070938215,0.8541931234967962,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,4,50,7.5,L11,2.0,323.1,0.029998650529455086,0.5491990846681922,0.03,0.55,0.029998650529455086,0.5491990846681922,0.9482065472524367,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.9725,0.9725,0.0,1.0,0.0,0.0,0.0
9,40,8,50,3.8,L12,2.0,323.1,0.029998650529455086,0.5565217391304348,0.03,0.55,0.029998650529455086,0.5565217391304348,0.948853183864843,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.4775,0.49375,0.01625,1.0,0.0,-0.0007832722832722822,0.0007832722832722405
9,48,4,50,0.4,L13,1.5,290.8,0.029997618938996714,0.029290617848970253,0.03,0.03,0.029997618938996714,0.029290617848970253,0.49403759389442703,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,48,8,50,0.2,L14,1.5,290.8,0.029997618938996714,0.029290617848970253,0.03,0.03,0.029997618938996714,0.029290617848970253,0.49403759389442703,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,48,4,50,2.5,L15,1.5,290.8,0.029997618938996714,0.18306636155606407,0.03,0.18,0.029997618938996714,0.18306636155606407,0.8592083989546412,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,48,8,50,1.2,L16,1.5,290.8,0.029997618938996714,0.1757437070938215,0.03,0.18,0.029997618938996714,0.1757437070938215,0.8541974064354395,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,48,4,50,7.5,L17,1.5,290.8,0.029997618938996714,0.5491990846681922,0.03,0.55,0.029997618938996714,0.5491990846681922,0.9482082360756303,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.9775,0.9775,0.0,1.0,0.0,0.0,0.0
9,48,8,50,3.8,L18,1.5,290.8,0.029997618938996714,0.5565217391304348,0.03,0.55,0.029997618938996714,0.5565217391304348,0.9488548527405202,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.424375,0.42625,0.001875,1.000835311491,0.00012637362637357707,-5.9398529079490725e-05,5.9398529079435214e-05
10,32,4,50,0.4,L01,2.0,258.5,0.02999632955069072,0.029290617848970253,0.03,0.03,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,8,50,0.2,L02,2.0,258.5,0.02999632955069072,0.029290617848970253,0.03,0.03,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,4,50,2.5,L03,2.0,258.5,0.02999632955069072,0.18306636155606407,0.03,0.18,0.02999632955069072,0.18306636155606407,0.8592135986132781,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,8,50,1.2,L04,2.0,258.5,0.02999632955069072,0.1757437070938215,0.03,0.18,0.02999632955069072,0.1757437070938215,0.8542027597549238,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,4,50,7.5,L05,2.0,258.5,0.02999632955069072,0.5491990846681922,0.03,0.55,0.02999632955069072,0.5491990846681922,0.9482103469497518,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,8,50,3.8,L06,2.0,258.5,0.02999632955069072,0.5565217391304348,0.03,0.55,0.02999632955069072,0.5565217391304348,0.948856938681971,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.798125,0.796875,-0.00125,1.0,0.0,5.8608058608064506e-05,-5.860805860802287e-05
10,40,4,50,0.4,L07,2.0,323.1,0.029998650529455086,0.029290617848970253,0.03,0.03,0.029998650529455086,0.029290617848970253,0.49402899799702643,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,8,50,0.2,L08,2.0,323.1,0.029998650529455086,0.029290617848970253,0.03,0.03,0.029998650529455086,0.029290617848970253,0.49402899799702643,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,4,50,2.5,L09,2.0,323.1,0.029998650529455086,0.18306636155606407,0.03,0.18,0.029998650529455086,0.18306636155606407,0.8592042389511876,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,8,50,1.2,L10,2.0,323.1,0.029998650529455086,0.1757437070938215,0.03,0.18,0.029998650529455086,0.1757437070938215,0.8541931234967962,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,4,50,7.5,L11,2.0,323.1,0.029998650529455086,0.5491990846681922,0.03,0.55,0.029998650529455086,0.5491990846681922,0.9482065472524367,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,8,50,3.8,L12,2.0,323.1,0.029998650529455086,0.5565217391304348,0.03,0.55,0.029998650529455086,0.5565217391304348,0.948853183864843,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.735625,0.759375,0.02375,1.0,0.0,0.00038949938949939256,-0.00038949938949939256
10,48,4,50,0.4,L13,1.5,290.8,0.029997618938996714,0.029290617848970253,0.03,0.03,0.029997618938996714,0.029290617848970253,0.49403759389442703,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,8,50,0.2,L14,1.5,290.8,0.029997618938996714,0.029290617848970253,0.03,0.03,0.029997618938996714,0.029290617848970253,0.49403759389442703,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,4,50,2.5,L15,1.5,290.8,0.029997618938996714,0.18306636155606407,0.03,0.18,0.029997618938996714,0.18306636155606407,0.8592083989546412,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,8,50,1.2,L16,1.5,290.8,0.029997618938996714,0.1757437070938215,0.03,0.18,0.029997618938996714,0.1757437070938215,0.8541974064354395,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,4,50,7.5,L17,1.5,290.8,0.029997618938996714,0.5491990846681922,0.03,0.55,0.029997618938996714,0.5491990846681922,0.9482082360756303,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,8,50,3.8,L18,1.5,290.8,0.029997618938996714,0.5565217391304348,0.03,0.55,0.029997618938996714,0.5565217391304348,0.9488548527405202,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.74375,0.753125,0.009375,1.0,7.326007326002859e-06,0.0006632243539478749,-0.0006632243539479443
11,32,4,50,0.4,L01,2.0,258.5,0.02999632955069072,0.029290617848970253,0.03,0.03,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.064,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,32,8,50,0.2,L02,2.0,258.5,0.02999632955069072,0.029290617848970253,0.03,0.03,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.032,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,32,4,50,2.5,L03,2.0,258.5,0.02999632955069072,0.18306636155606407,0.03,0.18,0.02999632955069072,0.18306636155606407,0.8592135986132781,0.4,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,32,8,50,1.2,L04,2.0,258.5,0.02999632955069072,0.1757437070938215,0.03,0.18,0.02999632955069072,0.1757437070938215,0.8542027597549238,0.192,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,32,4,50,7.5,L05,2.0,258.5,0.02999632955069072,0.5491990846681922,0.03,0.55,0.02999632955069072,0.5491990846681922,0.9482103469497518,1.2,candidate_domain_solve_period,candidate_domain_solve_packet,0.00875,0.00875,0.0,1.080536288735,0.0,0.004689865689865694,-0.004689865689865735
11,32,8,50,3.8,L06,2.0,258.5,0.02999632955069072,0.5565217391304348,0.03,0.55,0.02999632955069072,0.5565217391304348,0.948856938681971,0.608,candidate_domain_solve_period,candidate_domain_solve_packet,0.013125,0.0125,-0.000625,0.99297383918,0.0,-0.0009151404151404169,0.000915140415140403
