background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
48,4,50,4.1,easy,1.5,72.7,0.11999047575598686,0.300228832951945,0.7144574909588823,0.6559999999999999,0.12,0.3,0.11999047575598686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.99725,8006400.0,166800.0,0.7572798534798535,0.37688289514013995,0.62311710485986,800.0,0.00275,31.6,28.0,3.6,0.0
48,4,50,4.1,easy,1.5,72.7,0.11999047575598686,0.300228832951945,0.7144574909588823,0.6559999999999999,0.12,0.3,0.11999047575598686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.99725,8006400.0,166800.0,0.7572798534798535,0.37688289514013995,0.62311710485986,800.0,0.00275,31.6,28.0,3.6,0.0
48,8,50,2.7,critical,1.5,72.7,0.11999047575598686,0.39542334096109844,0.7671958495015461,0.43200000000000005,0.12,0.4,0.11999047575598686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.772,8003852.88,166746.935,0.9654081807081807,0.2793041275035447,0.7206958724964553,1600.0,0.22799999999999998,23.2,21.0,2.2,0.0
48,8,50,2.7,critical,1.5,72.7,0.11999047575598686,0.39542334096109844,0.7671958495015461,0.43200000000000005,0.12,0.4,0.11999047575598686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.788,8004359.44,166757.48833333334,0.9654004884004884,0.27901284986871644,0.7209871501312836,1600.0,0.21200000000000002,23.2,21.0,2.2,0.0
40,8,50,3.1,overloaded,2.0,80.8,0.11995747507508588,0.45400457665903887,0.7910010344540104,0.496,0.12,0.45,0.11995747507508588,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.475875,7986858.92,199671.473,0.9868655677655678,0.25211602743162465,0.7478839725683754,1600.0,0.524125,21.0,19.2,1.8,0.0
40,8,50,3.1,overloaded,2.0,80.8,0.11995747507508588,0.45400457665903887,0.7910010344540104,0.496,0.12,0.45,0.11995747507508588,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.484,7986192.140000001,199654.8035,0.9868655677655678,0.2521894096050068,0.7478105903949932,1600.0,0.516,21.0,19.2,1.8,0.0
48,8,50,3.1,high_cost,1.5,72.7,0.11999047575598686,0.45400457665903887,0.7909555574544779,0.496,0.12,0.45,0.11999047575598686,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.41825,7993569.2,166532.69166666665,0.9808554334554334,0.2556607630459143,0.7443392369540858,1600.0,0.58175,25.2,22.6,2.6,0.0
48,8,50,3.1,high_cost,1.5,72.7,0.11999047575598686,0.45400457665903887,0.7909555574544779,0.496,0.12,0.45,0.11999047575598686,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.41950000000000004,7988630.9799999995,166429.81208333332,0.9809347985347985,0.25539272317782546,0.7446072768221745,1600.0,0.5805,25.2,22.6,2.6,0.0
