region,scene_point_count,scene_point_share,proposed_win_rate,mean_delta_pdb_satisfaction_rate,mean_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
critical,9,0.5,0.3333333333333333,0.0009722222222222221,0.9998569558415333,-4.694071360737221e-06,3.237824624536072e-05,-3.2378246245357005e-05
feasible,6,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0
overloaded,3,0.16666666666666666,0.6666666666666666,0.0025,0.9997823220183332,2.6455026455033764e-05,-6.968850303814555e-05,6.968850303815296e-05
