background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
32,4,300,24.6,L01,2.0,64.6,0.12003175214943579,0.3002288329519451,0.7143873196662491,0.656,0.12,0.3,0.12003175214943579,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,4,300,32.8,L03,2.0,64.6,0.12003175214943579,0.4003051106025934,0.7693191454578188,0.8746666666666666,0.12,0.4,0.12003175214943579,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9636363636363636,0.9636363636363636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,4,300,36.9,L05,2.0,64.6,0.12003175214943579,0.4503432494279176,0.7895564289853307,0.984,0.12,0.45,0.12003175214943579,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.8151515151515152,0.8151515151515152,0.0,0.0,0.0,0.9999552791568,9.999884540630208e-05,8.765285267199373e-05,0.0,-0.00015827231076959158,0.00015827231076959158
32,8,300,12.3,L02,2.0,64.6,0.12003175214943579,0.3002288329519451,0.7143873196662491,0.328,0.12,0.3,0.12003175214943579,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,300,16.4,L04,2.0,64.6,0.12003175214943579,0.4003051106025934,0.7693191454578188,0.4373333333333333,0.12,0.4,0.12003175214943579,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,300,18.4,L06,2.0,64.6,0.12003175214943579,0.4491228070175438,0.7891051732501002,0.49066666666666664,0.12,0.45,0.12003175214943579,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9011320754716982,0.9003773584905661,-0.0007547169811999999,0.0016875984737366307,0.0014792452831519996,1.0000016877145999,3.7738445721852305e-06,3.3079206159705164e-06,0.0,0.0004500808796567113,-0.0004500808796567224
40,4,300,24.6,L07,2.0,80.8,0.11995747507508588,0.3002288329519451,0.714513603172027,0.656,0.12,0.3,0.11995747507508588,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,300,32.8,L09,2.0,80.8,0.11995747507508588,0.4003051106025934,0.7694289799470537,0.8746666666666666,0.12,0.4,0.11995747507508588,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.8833333333333334,0.8833333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,300,36.9,L11,2.0,80.8,0.11995747507508588,0.4503432494279176,0.7896592623486065,0.984,0.12,0.45,0.11995747507508588,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.8136363636363637,0.8136363636363637,0.0,0.0,0.0,0.9999930662644001,1.550430413958768e-05,1.359012177598018e-05,0.0,-0.0002255383854177173,0.00022553838541772286
40,8,300,12.3,L08,2.0,80.8,0.11995747507508588,0.3002288329519451,0.714513603172027,0.328,0.12,0.3,0.11995747507508588,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,8,300,16.4,L10,2.0,80.8,0.11995747507508588,0.4003051106025934,0.7694289799470537,0.4373333333333333,0.12,0.4,0.11995747507508588,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,8,300,18.4,L12,2.0,80.8,0.11995747507508588,0.4491228070175438,0.7892081682500461,0.49066666666666664,0.12,0.45,0.11995747507508588,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.8860377358490567,0.8867924528301886,0.0007547169811999999,0.0016875984737366307,0.0014792452831519996,1.0000459555572,0.00010275974984311786,9.007289211203327e-05,0.0,9.321556282881893e-05,-9.321556282881893e-05
48,4,300,24.6,L13,1.5,72.7,0.11999047575598686,0.3002288329519451,0.7144574909588823,0.656,0.12,0.3,0.11999047575598686,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,4,300,32.8,L15,1.5,72.7,0.11999047575598686,0.4003051106025934,0.7693801775337547,0.8746666666666666,0.12,0.4,0.11999047575598686,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9969696969696968,0.9969696969696968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,4,300,36.9,L17,1.5,72.7,0.11999047575598686,0.4503432494279176,0.7896135710415935,0.984,0.12,0.45,0.11999047575598686,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.8181818181818181,0.8181818181818181,0.0,0.0,0.0,1.0018228185776,0.004075946250163087,0.00357272441209601,9.768009768018615e-06,0.0003250415035484677,-0.0003250415035484622
48,8,300,12.3,L14,1.5,72.7,0.11999047575598686,0.3002288329519451,0.7144574909588823,0.328,0.12,0.3,0.11999047575598686,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,8,300,16.4,L16,1.5,72.7,0.11999047575598686,0.4003051106025934,0.7693801775337547,0.4373333333333333,0.12,0.4,0.11999047575598686,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
