case_type,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
easy,32,4,50,0.4,L01,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.064,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
critical,48,8,300,22.5,L18,2.0,166.2,0.06998241145174686,0.5491990846681922,0.8869759321131411,0.6,0.07,0.55,0.06998241145174686,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.8114847007278637,0.8219885520457918,0.010503851318,0.01784531858351659,0.015642111409690275,0.9761614966902,0.053304513882566525,0.046723466487207994,0.0,-0.002796738945339647,0.0027967389453396494
overloaded,32,8,300,22.5,L06,2.0,38.8,0.19984668012509155,0.5491990846681922,0.7331983044050135,0.6,0.2,0.55,0.19984668012509155,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.3043143262013418,0.3455522524777069,0.0412379262764,0.043690306687216726,0.03829624231848865,0.95864339028,0.10365573635171253,0.0908582589141683,0.0,-0.007066497618924497,0.007066497618924505
high_cost_negative,48,4,50,7.5,L17,2.0,58.2,0.19984668012509152,0.5491990846681922,0.7331983044050135,1.2,0.2,0.55,0.19984668012509152,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.32025000000000003,0.307,-0.013250000000000001,0.013538140566562308,0.011866703417546087,0.82237418759,0.3316345871599711,0.2906905323872715,-0.00016031746031746063,-0.03149112782677678,0.03149112782677679
high_cost_positive,32,8,50,3.8,L06,2.0,38.8,0.19984668012509155,0.5565217391304348,0.7357813004384881,0.608,0.2,0.55,0.19984668012509155,0.5565217391304348,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.10525,0.125125,0.019874999999999997,0.01939716474127082,0.01700236454143952,0.8518849255877999,0.3059777429659974,0.26820131688657983,0.0,-0.02486642246642248,0.024866422466422455
