seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
11,40,4,50,5.5,L09,2.0,138.5,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.87125,0.87125,0.0,1.0,0.0,0.0,0.0
11,40,8,50,2.7,L10,2.0,138.5,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.99625,0.99625,0.0,1.0,0.0,0.0,0.0
11,40,4,50,6.1,L11,2.0,138.5,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.2,0.205,0.005,1.0002556156,0.0,0.0008292446118945973,-0.0008292446118945973
11,40,8,50,3.1,L12,2.0,138.5,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.336875,0.33875,0.001875,0.998594962636,0.0,0.0013840048840048913,-0.001384004884004808
11,48,4,50,4.1,L13,2.0,166.2,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,0.93,0.93,0.0,1.0,0.0,0.0,0.0
11,48,8,50,2.0,L14,2.0,166.2,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,48,4,50,5.5,L15,2.0,166.2,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.84875,0.84875,0.0,1.0,4.2124542124599706e-05,-2.6484893258821307e-05,2.6484893258849063e-05
11,48,8,50,2.7,L16,2.0,166.2,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.99875,0.99875,0.0,1.0,0.0,0.0,0.0
11,48,4,50,6.1,L17,2.0,166.2,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.23125,0.23625,0.005,1.000693758792,-0.0004999999999999449,-0.0009075035075535309,0.0009075035075535309
11,48,8,50,3.1,L18,2.0,166.2,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.360625,0.3525,-0.008125,1.000138418958,0.0,0.00084859584859584,-0.0008485958485958678
