background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
32,4,100,8.2,easy,2.0,110.8,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,1.0,4710400.0,147200.0,0.5820980463980463,0.2947104304036101,0.7052895695963899,400.0,0.0,23.8,19.4,4.4,0.0
32,4,100,8.2,easy,2.0,110.8,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,1.0,4710400.0,147200.0,0.5820980463980463,0.2947104304036101,0.7052895695963899,400.0,0.0,23.8,19.4,4.4,0.0
32,4,100,12.3,critical,2.0,110.8,0.06998241145174686,0.45034324942791765,0.8655026712819923,0.9840000000000001,0.07,0.45,0.06998241145174686,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.882,4706685.68,147083.9275,0.7622588522588523,0.22380706678805992,0.77619293321194,400.0,0.118,31.2,25.0,6.2,0.0
32,4,100,12.3,critical,2.0,110.8,0.06998241145174686,0.45034324942791765,0.8655026712819923,0.9840000000000001,0.07,0.45,0.06998241145174686,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.885,4708171.2,147130.35,0.7622588522588523,0.22367234046770834,0.7763276595322917,400.0,0.11499999999999999,31.2,25.0,6.2,0.0
40,4,100,12.3,high_cost,2.0,138.5,0.06998241145174686,0.45034324942791765,0.8655026712819923,0.9840000000000001,0.07,0.45,0.06998241145174686,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.8710000000000001,4732454.5600000005,118311.36400000002,0.7697616605616606,0.23139923145269808,0.7686007685473019,400.0,0.129,48.6,41.4,7.2,0.0
40,4,100,12.3,high_cost,2.0,138.5,0.06998241145174686,0.45034324942791765,0.8655026712819923,0.9840000000000001,0.07,0.45,0.06998241145174686,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.8714999999999999,4732403.84,118310.09599999999,0.7697616605616606,0.23144216192856587,0.7685578380714342,400.0,0.1285,48.6,41.4,7.2,0.0
