background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
32,4,50,4.1,L01,2.0,258.5,0.02999632955069072,0.300228832951945,0.9091640100246713,0.6559999999999999,0.03,0.3,0.02999632955069072,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,4,50,5.5,L03,2.0,258.5,0.02999632955069072,0.40274599542334094,0.9306831621970633,0.88,0.03,0.4,0.02999632955069072,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9984999999999999,0.9984999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,4,50,6.1,L05,2.0,258.5,0.02999632955069072,0.4466819221967963,0.9370721667272943,0.976,0.03,0.45,0.02999632955069072,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9810000000000001,0.9810000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,50,2.0,L02,2.0,258.5,0.02999632955069072,0.2929061784897025,0.9071040676248376,0.32,0.03,0.3,0.02999632955069072,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.999875,0.999875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,50,2.7,L04,2.0,258.5,0.02999632955069072,0.39542334096109844,0.9294900268372536,0.43200000000000005,0.03,0.4,0.02999632955069072,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.99975,0.99975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,50,3.1,L06,2.0,258.5,0.02999632955069072,0.45400457665903887,0.9380242285379264,0.496,0.03,0.45,0.02999632955069072,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.99725,0.99725,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,50,4.1,L07,2.0,323.1,0.029998650529455086,0.300228832951945,0.9091576200345397,0.6559999999999999,0.03,0.3,0.029998650529455086,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9974999999999999,0.9974999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,50,5.5,L09,2.0,323.1,0.029998650529455086,0.40274599542334094,0.9306781705793135,0.88,0.03,0.4,0.029998650529455086,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9872500000000001,0.9872500000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.564723008369688e-05,5.5647230083710755e-05
40,4,50,6.1,L11,2.0,323.1,0.029998650529455086,0.4466819221967963,0.9370676040815225,0.976,0.03,0.45,0.029998650529455086,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.96975,0.96975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,8,50,2.0,L08,2.0,323.1,0.029998650529455086,0.2929061784897025,0.9070975475325724,0.32,0.03,0.3,0.029998650529455086,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,8,50,2.7,L10,2.0,323.1,0.029998650529455086,0.39542334096109844,0.9294849558097628,0.43200000000000005,0.03,0.4,0.029998650529455086,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.999875,0.999875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,8,50,3.1,L12,2.0,323.1,0.029998650529455086,0.45400457665903887,0.9380197303565246,0.496,0.03,0.45,0.029998650529455086,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.99275,0.99275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,4,50,4.1,L13,1.5,290.8,0.029997618938996714,0.300228832951945,0.9091604601411412,0.6559999999999999,0.03,0.3,0.029997618938996714,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,4,50,5.5,L15,1.5,290.8,0.029997618938996714,0.40274599542334094,0.9306803891648425,0.88,0.03,0.4,0.029997618938996714,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9970000000000001,0.9970000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,4,50,6.1,L17,1.5,290.8,0.029997618938996714,0.4466819221967963,0.9370696320057688,0.976,0.03,0.45,0.029997618938996714,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,5,0.9804999999999999,0.9804999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
