seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
7,36,4,100,50,0.0,0.0,0.0,0.143584976701,0.0,-0.19801953601953604,0.19801953601953592
7,36,4,100,150,0.0,0.0,0.0,0.158036966219,0.0,-0.19150427350427351,0.19150427350427357
7,36,4,100,300,0.0,0.0,0.0,0.158036966219,0.0,-0.19150427350427351,0.19150427350427357
7,36,4,300,50,0.05303030303030303,0.08333333333333333,0.030303030303,1.001710872646,3.113553113553991e-05,-0.003375912421937133,0.003375912421937133
7,36,4,300,150,0.0,0.0,0.0,0.928282342259,0.0,-0.002892064816959125,0.002892064816959139
7,36,4,300,300,0.0,0.0,0.0,0.949100721666,0.0,-0.0024258392823426414,0.0024258392823426345
7,36,4,500,50,0.8375,0.9,0.0625,1.001851253462,0.0,0.002122762132709899,-0.002122762132709899
7,36,4,500,150,0.0,0.0,0.0,0.822521452138,-6.715506715493369e-06,-0.02908901931890473,0.02908901931890473
7,36,4,500,300,0.0,0.0,0.0,0.909106582894,0.0,-0.004932336193216563,0.0049323361932166465
7,36,10,100,50,0.0,0.0,0.0,0.428029410225,0.0,-0.03513919413919414,0.035139194139194085
7,36,10,100,150,0.0,0.0,0.0,0.427245872565,0.0,-0.035252747252747255,0.035252747252747185
7,36,10,100,300,0.0,0.0,0.0,0.429447251289,0.0,-0.03531074481074481,0.03531074481074481
7,36,10,300,50,0.0,0.0,0.0,0.469660027239,0.0,-0.056618891855644664,0.056618891855644726
7,36,10,300,150,0.0,0.0,0.0,0.528712711656,0.0,-0.03941177620184145,0.03941177620184144
7,36,10,300,300,0.0,0.0,0.0,0.55859772655,0.0,-0.0359105022340241,0.03591050223402403
7,36,10,500,50,0.025,0.02,-0.005,0.546029618841,-5.494505494474389e-06,-0.06467955713716168,0.06467955713716178
7,36,10,500,150,0.0,0.0,0.0,0.902524861092,0.0,-0.006582143278325306,0.006582143278325292
7,36,10,500,300,0.0,0.0,0.0,0.962716343828,0.0,-0.0018276263038870255,0.0018276263038869978
7,36,16,100,50,0.0,0.0,0.0,0.601193673136,0.0,-0.0093015873015873,0.009301587301587366
7,36,16,100,150,0.0,0.0,0.0,0.18255428374,0.0,-0.02223076923076923,0.022230769230769165
7,36,16,100,300,0.0,0.0,0.0,0.189943021853,0.0,-0.022013431013431013,0.022013431013431006
7,36,16,300,50,0.0,0.0,0.0,0.845653166834,0.0,-0.005144688644688644,0.005144688644688644
7,36,16,300,150,0.0,0.0,0.0,0.790946981251,0.0,-0.007541514041514041,0.007541514041514041
7,36,16,300,300,0.0,0.0,0.0,0.420564973894,0.0,-0.02442673992673993,0.024426739926739938
7,36,16,500,50,0.0,0.0,0.0,0.499732901584,0.0,-0.03880665962339044,0.03880665962339036
7,36,16,500,150,0.0,0.0,0.0,0.935681366588,0.0,-0.0037505751431823955,0.003750575143182333
7,36,16,500,300,0.0,0.0,0.0,0.859963412042,0.0,-0.008283283910228173,0.008283283910228145
8,36,4,100,50,0.0025,0.0025,0.0,0.932945551654,0.0,-0.0021318681318681296,0.0021318681318680532
8,36,4,100,150,0.0,0.0,0.0,0.573624277633,0.0,-0.01784065934065934,0.01784065934065926
8,36,4,100,300,0.0,0.0,0.0,0.579767514059,0.0,-0.01726190476190476,0.01726190476190481
8,36,4,300,50,0.022222222222222223,0.2518518518518518,0.22962962963,1.014022656566,0.0,-0.017492063492063503,0.01749206349206356
8,36,4,300,150,0.007407407407407408,0.007407407407407408,0.0,0.420850732817,0.0,-0.06832478632478632,0.06832478632478634
8,36,4,300,300,0.0,0.0,0.0,0.200594324303,0.0,-0.18394566544566543,0.18394566544566548
8,36,4,500,50,0.2625,0.3625,0.1,1.001149283892,0.0,-0.0008333333333333526,0.0008333333333333526
8,36,4,500,150,0.0,0.0,0.0,0.943186588282,0.0,-0.004189865689865693,0.0041898656898657904
8,36,4,500,300,0.0,0.0,0.0,0.858081306977,0.0,-0.008251526251526253,0.008251526251526253
8,36,10,100,50,0.0,0.0,0.0,0.917222761581,0.0,-0.0016800976800976815,0.001680097680097692
8,36,10,100,150,0.0,0.0,0.0,0.94844311414,0.0,-0.0009145299145299143,0.0009145299145298935
8,36,10,100,300,0.0,0.0,0.0,0.951991054468,0.0,-0.0009529914529914536,0.0009529914529914363
8,36,10,300,50,0.0029940119760479044,0.0029940119760479044,0.0,0.900854736872,0.0,-0.0044597069597069605,0.004459706959706877
8,36,10,300,150,0.0,0.0,0.0,0.857095219623,0.0,-0.006302197802197804,0.006302197802197762
8,36,10,300,300,0.0,0.0,0.0,0.84265897656,0.0,-0.0071581196581196604,0.007158119658119744
8,36,10,500,50,0.01,0.005,-0.005,0.806534895202,0.0,-0.012487789987789988,0.012487789987789988
8,36,10,500,150,0.0,0.0,0.0,0.970948917007,0.0,-0.0026086691086691094,0.0026086691086690816
8,36,10,500,300,0.0,0.0,0.0,0.893908137411,0.0,-0.00665811965811966,0.006658119658119577
8,36,16,100,50,0.0,0.0,0.0,0.169143322964,0.0,-0.024165445665445665,0.02416544566544565
8,36,16,100,150,0.0,0.0,0.0,0.153329049924,0.0,-0.024776556776556775,0.02477655677655677
8,36,16,100,300,0.0,0.0,0.0,0.145882088427,0.0,-0.025015262515262513,0.025015262515262537
8,36,16,300,50,0.001869158878504673,0.001869158878504673,0.0,0.960395479627,0.0,-0.0012295482295482316,0.0012295482295482385
8,36,16,300,150,0.0,0.0,0.0,0.912538386499,0.0,-0.003181929181929187,0.003181929181929166
8,36,16,300,300,0.0,0.0,0.0,0.440381857223,0.0,-0.02367948717948718,0.023679487179487202
8,36,16,500,50,0.00625,0.003125,-0.003125,0.873018661916,0.0,-0.0065866910866910905,0.006586691086691077
8,36,16,500,150,0.0,0.0,0.0,0.933461181323,0.0,-0.003462148962148963,0.0034621489621490253
8,36,16,500,300,0.0,0.0,0.0,0.896426423509,0.0,-0.006362026862026859,0.006362026862026915
9,36,4,100,50,0.0025,0.0025,0.0,0.436013181884,0.0,-0.03672649572649572,0.03672649572649567
9,36,4,100,150,0.0,0.0,0.0,0.805832031086,0.0,-0.005269841269841268,0.005269841269841313
9,36,4,100,300,0.0,0.0,0.0,0.806633074201,0.0,-0.005816849816849819,0.005816849816849823
9,36,4,300,50,0.022388059701492536,0.09701492537313433,0.074626865672,0.793347505783,0.0,-0.10293956043956043,0.10293956043956043
9,36,4,300,150,0.0,0.0,0.0,0.223633833432,0.0,-0.1836031746031746,0.18360317460317466
9,36,4,300,300,0.0,0.0,0.0,0.546484015655,0.0,-0.036293650793650795,0.03629365079365077
9,36,4,500,50,0.2375,0.25,0.0125,1.012968690609,0.0,0.0053663003663003694,-0.0053663003663003694
9,36,4,500,150,0.0,0.0,0.0,0.933636239249,0.0,-0.002899267399267394,0.00289926739926738
9,36,4,500,300,0.0,0.0,0.0,0.939594732281,0.0,-0.002220390720390708,0.002220390720390708
9,36,10,100,50,0.0,0.0,0.0,0.911275803861,0.0,-0.0027234432234432213,0.0027234432234432004
9,36,10,100,150,0.0,0.0,0.0,0.251606058627,0.00016117216117217392,-0.04026418204128164,0.04026418204128168
9,36,10,100,300,0.0,0.0,0.0,0.248424307368,0.00014407814407813024,-0.04020501631756611,0.04020501631756612
9,36,10,300,50,0.003003003003003003,0.003003003003003003,0.0,0.911084207102,0.0,-0.0025311355311355282,0.0025311355311355976
9,36,10,300,150,0.0,0.0,0.0,0.957037940992,0.0,-0.0017582417582417548,0.0017582417582417964
9,36,10,300,300,0.0,0.0,0.0,0.937901927227,0.0,-0.0016770451770451791,0.0016770451770451444
