seed,scenario_id,policy,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
7,bg40_pdb4_d50_k4.1_seed00_L07,tail_append,40,4,50,4.1,L07,2.0,48.5,0.19984668012509152,0.300228832951945,0.2,0.3,0.19984668012509152,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.7896923076923077,0.5321140210094039,0.4678859789905962,800.0,0.0,28.0,23.0,5.0,0.0
7,bg40_pdb4_d50_k4.1_seed00_L07,hopeless_tail_append,40,4,50,4.1,L07,2.0,48.5,0.19984668012509152,0.300228832951945,0.2,0.3,0.19984668012509152,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.7896923076923077,0.5321140210094039,0.4678859789905962,800.0,0.0,28.0,23.0,5.0,0.0
7,bg40_pdb8_d50_k2.0_seed00_L08,tail_append,40,8,50,2.0,L08,2.0,48.5,0.19984668012509152,0.2929061784897025,0.2,0.3,0.19984668012509152,0.2929061784897025,0.5944281669174035,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.9337435897435897,0.4459087842078835,0.5540912157921165,1600.0,0.0,5.0,3.0,2.0,0.0
7,bg40_pdb8_d50_k2.0_seed00_L08,hopeless_tail_append,40,8,50,2.0,L08,2.0,48.5,0.19984668012509152,0.2929061784897025,0.2,0.3,0.19984668012509152,0.2929061784897025,0.5944281669174035,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.9337435897435897,0.4459087842078835,0.5540912157921165,1600.0,0.0,5.0,3.0,2.0,0.0
7,bg40_pdb4_d50_k5.5_seed00_L09,tail_append,40,4,50,5.5,L09,2.0,48.5,0.19984668012509152,0.40274599542334094,0.2,0.4,0.19984668012509152,0.40274599542334094,0.6683552783923125,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.99875,13281062.0,332026.55,0.8743345543345543,0.4795448832532678,0.5204551167467322,800.0,0.00125,29.0,23.0,6.0,0.0
7,bg40_pdb4_d50_k5.5_seed00_L09,hopeless_tail_append,40,4,50,5.5,L09,2.0,48.5,0.19984668012509152,0.40274599542334094,0.2,0.4,0.19984668012509152,0.40274599542334094,0.6683552783923125,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.99875,13281062.0,332026.55,0.8743345543345543,0.4795448832532678,0.5204551167467322,800.0,0.00125,29.0,23.0,6.0,0.0
7,bg40_pdb8_d50_k2.7_seed00_L10,tail_append,40,8,50,2.7,L10,2.0,48.5,0.19984668012509152,0.39542334096109844,0.2,0.4,0.19984668012509152,0.39542334096109844,0.6642755841115079,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.981875,13276542.0,331913.55,0.9973113553113553,0.3952721480708817,0.6047278519291184,1600.0,0.018125,5.0,3.0,2.0,0.0
7,bg40_pdb8_d50_k2.7_seed00_L10,hopeless_tail_append,40,8,50,2.7,L10,2.0,48.5,0.19984668012509152,0.39542334096109844,0.2,0.4,0.19984668012509152,0.39542334096109844,0.6642755841115079,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.975625,13276542.0,331913.55,0.997464590964591,0.39260836540998023,0.6073916345900198,1600.0,0.024375,5.0,3.0,2.0,0.0
7,bg40_pdb4_d50_k6.1_seed00_L11,tail_append,40,4,50,6.1,L11,2.0,48.5,0.19984668012509152,0.4466819221967963,0.2,0.45,0.19984668012509152,0.4466819221967963,0.6908927471926546,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.995,13281062.0,332026.55,0.9069249084249085,0.46208760029161056,0.5379123997083894,800.0,0.005,29.0,23.0,6.0,0.0
7,bg40_pdb4_d50_k6.1_seed00_L11,hopeless_tail_append,40,4,50,6.1,L11,2.0,48.5,0.19984668012509152,0.4466819221967963,0.2,0.45,0.19984668012509152,0.4466819221967963,0.6908927471926546,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.995,13281062.0,332026.55,0.9069249084249085,0.46208288820990034,0.5379171117900996,800.0,0.005,29.0,23.0,6.0,0.0
