background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
32,4,300,24.6,L01,2.0,258.5,0.02999632955069072,0.3002288329519451,0.9091640100246713,0.656,0.03,0.3,0.02999632955069072,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,4,300,32.8,L03,2.0,258.5,0.02999632955069072,0.4003051106025934,0.9302899624504969,0.8746666666666666,0.03,0.4,0.02999632955069072,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,4,300,36.9,L05,2.0,258.5,0.02999632955069072,0.4503432494279176,0.9375518261175255,0.984,0.03,0.45,0.02999632955069072,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,300,12.3,L02,2.0,258.5,0.02999632955069072,0.3002288329519451,0.9091640100246713,0.328,0.03,0.3,0.02999632955069072,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,300,16.4,L04,2.0,258.5,0.02999632955069072,0.4003051106025934,0.9302899624504969,0.4373333333333333,0.03,0.4,0.02999632955069072,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,8,300,18.4,L06,2.0,258.5,0.02999632955069072,0.4491228070175438,0.9373927541998341,0.49066666666666664,0.03,0.45,0.02999632955069072,0.4491228070175438,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,300,24.6,L07,2.0,323.1,0.029998650529455086,0.3002288329519451,0.9091576200345397,0.656,0.03,0.3,0.029998650529455086,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,300,32.8,L09,2.0,323.1,0.029998650529455086,0.4003051106025934,0.9302849446387959,0.8746666666666666,0.03,0.4,0.029998650529455086,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,4,300,36.9,L11,2.0,323.1,0.029998650529455086,0.4503432494279176,0.9375472959320906,0.984,0.03,0.45,0.029998650529455086,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,8,300,12.3,L08,2.0,323.1,0.029998650529455086,0.3002288329519451,0.9091576200345397,0.328,0.03,0.3,0.029998650529455086,0.3002288329519451,candidate_domain_solve_period,candidate_domain_solve_packet,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
