seed,scenario_id,policy,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
7,bg32_pdb4_d100_k8.2_seed00_L01,tail_append,32,4,100,8.2,L01,2.0,38.8,0.19984668012509155,0.300228832951945,0.2,0.3,0.19984668012509155,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7130982905982906,0.5642259996318667,0.43577400036813335,400.0,0.0,25.0,20.0,5.0,0.0
7,bg32_pdb4_d100_k8.2_seed00_L01,hopeless_tail_append,32,4,100,8.2,L01,2.0,38.8,0.19984668012509155,0.300228832951945,0.2,0.3,0.19984668012509155,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7130982905982906,0.5642259996318667,0.43577400036813335,400.0,0.0,25.0,20.0,5.0,0.0
7,bg32_pdb8_d100_k4.1_seed00_L02,tail_append,32,8,100,4.1,L02,2.0,38.8,0.19984668012509155,0.300228832951945,0.2,0.3,0.19984668012509155,0.300228832951945,0.6003669947856352,0.32799999999999996,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8178943833943834,0.49031619505997937,0.5096838049400206,800.0,0.0,5.0,2.0,3.0,0.0
7,bg32_pdb8_d100_k4.1_seed00_L02,hopeless_tail_append,32,8,100,4.1,L02,2.0,38.8,0.19984668012509155,0.300228832951945,0.2,0.3,0.19984668012509155,0.300228832951945,0.6003669947856352,0.32799999999999996,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8178943833943834,0.49031619505997937,0.5096838049400206,800.0,0.0,5.0,2.0,3.0,0.0
7,bg32_pdb4_d100_k10.9_seed00_L03,tail_append,32,4,100,10.9,L03,2.0,38.8,0.19984668012509155,0.39908466819221966,0.2,0.4,0.19984668012509155,0.39908466819221966,0.6663279010414835,0.872,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7955982905982906,0.5051090017572265,0.4948909982427735,400.0,0.0,59.0,52.0,7.0,0.0
7,bg32_pdb4_d100_k10.9_seed00_L03,hopeless_tail_append,32,4,100,10.9,L03,2.0,38.8,0.19984668012509155,0.39908466819221966,0.2,0.4,0.19984668012509155,0.39908466819221966,0.6663279010414835,0.872,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7955982905982906,0.5051090017572265,0.4948909982427735,400.0,0.0,59.0,52.0,7.0,0.0
7,bg32_pdb8_d100_k5.5_seed00_L04,tail_append,32,8,100,5.5,L04,2.0,38.8,0.19984668012509155,0.40274599542334094,0.2,0.4,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.44,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9266233211233211,0.43168211547039187,0.5683178845296082,800.0,0.0,64.0,57.0,7.0,0.0
7,bg32_pdb8_d100_k5.5_seed00_L04,hopeless_tail_append,32,8,100,5.5,L04,2.0,38.8,0.19984668012509155,0.40274599542334094,0.2,0.4,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.44,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9266233211233211,0.43168211547039187,0.5683178845296082,800.0,0.0,64.0,57.0,7.0,0.0
7,bg32_pdb4_d100_k12.3_seed00_L05,tail_append,32,4,100,12.3,L05,2.0,38.8,0.19984668012509155,0.45034324942791765,0.2,0.45,0.19984668012509155,0.45034324942791765,0.6926333813529201,0.9840000000000001,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8315531135531136,0.4831963373771368,0.5168036626228631,400.0,0.0,60.0,52.0,8.0,0.0
7,bg32_pdb4_d100_k12.3_seed00_L05,hopeless_tail_append,32,4,100,12.3,L05,2.0,38.8,0.19984668012509155,0.45034324942791765,0.2,0.45,0.19984668012509155,0.45034324942791765,0.6926333813529201,0.9840000000000001,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8315531135531136,0.4831963373771368,0.5168036626228631,400.0,0.0,60.0,52.0,8.0,0.0
7,bg32_pdb8_d100_k6.1_seed00_L06,tail_append,32,8,100,6.1,L06,2.0,38.8,0.19984668012509155,0.4466819221967963,0.2,0.45,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.488,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9622991452991453,0.41268114241051207,0.587318857589488,800.0,0.0,69.0,62.0,7.0,0.0
7,bg32_pdb8_d100_k6.1_seed00_L06,hopeless_tail_append,32,8,100,6.1,L06,2.0,38.8,0.19984668012509155,0.4466819221967963,0.2,0.45,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.488,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9622991452991453,0.41268114241051207,0.587318857589488,800.0,0.0,69.0,62.0,7.0,0.0
7,bg40_pdb4_d100_k8.2_seed00_L07,tail_append,40,4,100,8.2,L07,2.0,48.5,0.19984668012509152,0.300228832951945,0.2,0.3,0.19984668012509152,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.7294426129426129,0.5767136162808507,0.4232863837191493,400.0,0.0,8.0,4.0,4.0,0.0
7,bg40_pdb4_d100_k8.2_seed00_L07,hopeless_tail_append,40,4,100,8.2,L07,2.0,48.5,0.19984668012509152,0.300228832951945,0.2,0.3,0.19984668012509152,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13281062.0,332026.55,0.7294426129426129,0.5767136162808507,0.4232863837191493,400.0,0.0,8.0,4.0,4.0,0.0
7,bg40_pdb8_d100_k4.1_seed00_L08,tail_append,40,8,100,4.1,L08,2.0,48.5,0.19984668012509152,0.300228832951945,0.2,0.3,0.19984668012509152,0.300228832951945,0.6003669947856352,0.32799999999999996,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13278687.0,331967.175,0.8348241758241758,0.5004321938334496,0.4995678061665504,800.0,0.0,5.0,2.0,3.0,0.0
7,bg40_pdb8_d100_k4.1_seed00_L08,hopeless_tail_append,40,8,100,4.1,L08,2.0,48.5,0.19984668012509152,0.300228832951945,0.2,0.3,0.19984668012509152,0.300228832951945,0.6003669947856352,0.32799999999999996,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13278687.0,331967.175,0.8348241758241758,0.5004321938334496,0.4995678061665504,800.0,0.0,5.0,2.0,3.0,0.0
7,bg40_pdb4_d100_k10.9_seed00_L09,tail_append,40,4,100,10.9,L09,2.0,48.5,0.19984668012509152,0.39908466819221966,0.2,0.4,0.19984668012509152,0.39908466819221966,0.6663279010414835,0.872,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13279525.6,331988.14,0.8110793650793651,0.5161973824054532,0.48380261759454685,400.0,0.0,43.0,37.0,6.0,0.0
7,bg40_pdb4_d100_k10.9_seed00_L09,hopeless_tail_append,40,4,100,10.9,L09,2.0,48.5,0.19984668012509152,0.39908466819221966,0.2,0.4,0.19984668012509152,0.39908466819221966,0.6663279010414835,0.872,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13279525.6,331988.14,0.8110793650793651,0.5161973824054532,0.48380261759454685,400.0,0.0,43.0,37.0,6.0,0.0
7,bg40_pdb8_d100_k5.5_seed00_L10,tail_append,40,8,100,5.5,L10,2.0,48.5,0.19984668012509152,0.40274599542334094,0.2,0.4,0.19984668012509152,0.40274599542334094,0.6683552783923125,0.44,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13277730.6,331943.265,0.9377564102564102,0.4405482912284471,0.5594517087715529,800.0,0.0,13.0,9.0,4.0,0.0
7,bg40_pdb8_d100_k5.5_seed00_L10,hopeless_tail_append,40,8,100,5.5,L10,2.0,48.5,0.19984668012509152,0.40274599542334094,0.2,0.4,0.19984668012509152,0.40274599542334094,0.6683552783923125,0.44,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13277730.6,331943.265,0.9377564102564102,0.4405482912284471,0.5594517087715529,800.0,0.0,13.0,9.0,4.0,0.0
7,bg40_pdb4_d100_k12.3_seed00_L11,tail_append,40,4,100,12.3,L11,2.0,48.5,0.19984668012509152,0.45034324942791765,0.2,0.45,0.19984668012509152,0.45034324942791765,0.6926333813529201,0.9840000000000001,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13279525.6,331988.14,0.8481251526251526,0.49139126810626615,0.5086087318937339,400.0,0.0,43.0,37.0,6.0,0.0
