background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
32,8,100,4.1,easy,2.0,38.8,0.19984668012509155,0.300228832951945,0.6003669947856352,0.32799999999999996,0.2,0.3,0.19984668012509155,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.9984999999999999,13258692.92,414334.15375,0.9605185592185592,0.459848309371998,0.540151690628002,800.0,0.0015,28.6,25.8,2.8,0.0
32,8,100,4.1,easy,2.0,38.8,0.19984668012509155,0.300228832951945,0.6003669947856352,0.32799999999999996,0.2,0.3,0.19984668012509155,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.99975,13259035.52,414344.86,0.9605185592185592,0.460306037316973,0.539693962683027,800.0,0.00025,28.6,25.8,2.8,0.0
32,8,100,5.5,critical,2.0,38.8,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.44,0.2,0.4,0.19984668012509155,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.662,13082744.18,408835.755625,0.9851201465201465,0.3644771254005407,0.6355228745994592,800.0,0.33799999999999997,41.0,36.8,4.2,0.0
32,8,100,5.5,critical,2.0,38.8,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.44,0.2,0.4,0.19984668012509155,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.677,13095576.16,409236.755,0.9851201465201465,0.36621043327985897,0.633789566720141,800.0,0.323,41.0,36.8,4.2,0.0
32,8,100,6.1,overloaded,2.0,38.8,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.488,0.2,0.45,0.19984668012509155,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.48,12681590.14,396299.691875,0.9922887667887668,0.32675888556525523,0.6732411144347448,800.0,0.52,43.0,38.4,4.6,0.0
32,8,100,6.1,overloaded,2.0,38.8,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.488,0.2,0.45,0.19984668012509155,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.488,12685023.58,396406.986875,0.9922887667887668,0.32560523396414576,0.6743947660358542,800.0,0.512,43.0,38.4,4.6,0.0
48,8,100,5.5,high_cost,2.0,58.2,0.19984668012509152,0.40274599542334094,0.6683552783923125,0.44,0.2,0.4,0.19984668012509152,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,tail_append,0.51525,13117173.76,273274.4533333333,0.9807601953601953,0.376703264698187,0.6232967353018131,800.0,0.48475,44.4,40.8,3.6,0.0
48,8,100,5.5,high_cost,2.0,58.2,0.19984668012509152,0.40274599542334094,0.6683552783923125,0.44,0.2,0.4,0.19984668012509152,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,hopeless_tail_append,0.51875,13100967.34,272936.81958333333,0.9807601953601953,0.37518751378243603,0.6248124862175639,800.0,0.48125,44.4,40.8,3.6,0.0
